,date,pair,rolling_correlation
184,2017-09-26,rolling_corr_BTC_SPY_30,-0.05343860621814936
185,2017-09-27,rolling_corr_BTC_SPY_30,-0.050498002968414675
186,2017-09-28,rolling_corr_BTC_SPY_30,-0.03781933135951711
187,2017-09-29,rolling_corr_BTC_SPY_30,0.10798899260737674
188,2017-10-02,rolling_corr_BTC_SPY_30,0.10327555193086545
189,2017-10-03,rolling_corr_BTC_SPY_30,0.10250617765786257
190,2017-10-04,rolling_corr_BTC_SPY_30,0.1482253109461547
191,2017-10-05,rolling_corr_BTC_SPY_30,0.15451040446754333
192,2017-10-06,rolling_corr_BTC_SPY_30,0.15040624715426448
193,2017-10-09,rolling_corr_BTC_SPY_30,0.11476996496704682
194,2017-10-10,rolling_corr_BTC_SPY_30,0.12307506316213714
195,2017-10-11,rolling_corr_BTC_SPY_30,0.12390212489740679
196,2017-10-12,rolling_corr_BTC_SPY_30,0.08483929006131019
197,2017-10-13,rolling_corr_BTC_SPY_30,0.08154566636960944
198,2017-10-16,rolling_corr_BTC_SPY_30,0.07937808598341112
199,2017-10-17,rolling_corr_BTC_SPY_30,-0.050897451749806005
200,2017-10-18,rolling_corr_BTC_SPY_30,-0.0605937759925534
201,2017-10-19,rolling_corr_BTC_SPY_30,-0.044365096803575074
202,2017-10-20,rolling_corr_BTC_SPY_30,-0.025150282107313782
203,2017-10-23,rolling_corr_BTC_SPY_30,0.0343320410538832
204,2017-10-24,rolling_corr_BTC_SPY_30,0.035003322843804564
205,2017-10-25,rolling_corr_BTC_SPY_30,0.11591500070515047
206,2017-10-26,rolling_corr_BTC_SPY_30,0.10052146846260879
207,2017-10-27,rolling_corr_BTC_SPY_30,0.16317714882031722
208,2017-10-30,rolling_corr_BTC_SPY_30,0.08338959800427476
209,2017-10-31,rolling_corr_BTC_SPY_30,0.08841272085834984
210,2017-11-01,rolling_corr_BTC_SPY_30,0.08392640223661325
211,2017-11-02,rolling_corr_BTC_SPY_30,0.06179169994953071
212,2017-11-03,rolling_corr_BTC_SPY_30,0.06086762305563428
213,2017-11-06,rolling_corr_BTC_SPY_30,0.011860527899541779
214,2017-11-07,rolling_corr_BTC_SPY_30,0.06615609524368665
215,2017-11-08,rolling_corr_BTC_SPY_30,0.08698521929553976
216,2017-11-09,rolling_corr_BTC_SPY_30,0.03814319209856545
217,2017-11-10,rolling_corr_BTC_SPY_30,0.07077130999435506
218,2017-11-13,rolling_corr_BTC_SPY_30,0.06354950501958154
219,2017-11-14,rolling_corr_BTC_SPY_30,-0.02028916953394873
220,2017-11-15,rolling_corr_BTC_SPY_30,-0.013997038434968329
221,2017-11-16,rolling_corr_BTC_SPY_30,0.19096249382340036
222,2017-11-17,rolling_corr_BTC_SPY_30,0.14195915187676614
223,2017-11-20,rolling_corr_BTC_SPY_30,0.15540059042110985
224,2017-11-21,rolling_corr_BTC_SPY_30,0.14978576903004637
225,2017-11-22,rolling_corr_BTC_SPY_30,0.1637971380886849
226,2017-11-24,rolling_corr_BTC_SPY_30,0.14582508752022205
227,2017-11-27,rolling_corr_BTC_SPY_30,0.13258971956879853
228,2017-11-28,rolling_corr_BTC_SPY_30,0.17886941512788238
229,2017-11-29,rolling_corr_BTC_SPY_30,0.17838322729355344
230,2017-11-30,rolling_corr_BTC_SPY_30,0.13668580011958573
231,2017-12-01,rolling_corr_BTC_SPY_30,0.13589600295133333
232,2017-12-04,rolling_corr_BTC_SPY_30,0.12924168841127304
233,2017-12-05,rolling_corr_BTC_SPY_30,0.09521215284307981
234,2017-12-06,rolling_corr_BTC_SPY_30,0.10432606284143853
235,2017-12-07,rolling_corr_BTC_SPY_30,0.06275913117028165
236,2017-12-08,rolling_corr_BTC_SPY_30,0.1629904803227489
237,2017-12-11,rolling_corr_BTC_SPY_30,0.17093426036685036
